"","ExpID_Well_Field","TrackID","timestep","labelimage_oid"
"1","ASCTmut.03.20240522_S20_p05",15,1,15
"2","ASCTmut.03.20240522_S20_p05",15,2,10
"3","ASCTmut.03.20240522_S20_p05",15,3,5
"4","ASCTmut.03.20240522_S20_p05",15,4,4
"5","ASCTmut.03.20240522_S20_p05",15,5,6
"6","ASCTmut.03.20240522_S20_p05",15,6,7
"7","ASCTmut.03.20240522_S20_p05",15,7,1
"8","ASCTmut.03.20240522_S20_p05",15,8,1
"9","ASCTmut.03.20240522_S20_p05",15,9,1
"10","ASCTmut.03.20240522_S20_p05",15,10,1
"11","ASCTmut.03.20240522_S20_p05",15,11,1
"12","ASCTmut.03.20240522_S20_p05",15,12,1
"13","ASCTmut.03.20240522_S20_p05",15,13,1
"14","ASCTmut.03.20240522_S20_p05",15,14,2
"15","ASCTmut.03.20240522_S20_p05",15,15,2
"16","ASCTmut.03.20240522_S20_p05",15,16,2
"17","ASCTmut.03.20240522_S20_p05",15,17,2
"18","ASCTmut.03.20240522_S20_p05",15,18,2
"19","ASCTmut.03.20240522_S20_p05",15,19,2
"20","ASCTmut.03.20240522_S20_p05",15,20,2
"21","ASCTmut.03.20240522_S20_p05",15,21,2
"22","ASCTmut.03.20240522_S20_p05",15,22,2
"23","ASCTmut.03.20240522_S20_p05",15,23,2
"24","ASCTmut.03.20240522_S20_p05",15,24,2
"25","ASCTmut.03.20240522_S20_p05",15,25,2
"26","ASCTmut.03.20240522_S20_p05",15,26,2
"27","ASCTmut.03.20240522_S20_p05",15,27,3
"28","ASCTmut.03.20240522_S20_p05",15,28,4
"29","ASCTmut.03.20240522_S20_p05",15,29,3
"30","ASCTmut.03.20240522_S20_p05",15,30,3
"31","ASCTmut.03.20240522_S20_p05",20,1,20
"32","ASCTmut.03.20240522_S20_p05",20,2,15
"33","ASCTmut.03.20240522_S20_p05",20,3,11
"34","ASCTmut.03.20240522_S20_p05",20,4,12
"35","ASCTmut.03.20240522_S20_p05",20,5,8
"36","ASCTmut.03.20240522_S20_p05",20,6,9
"37","ASCTmut.03.20240522_S20_p05",20,7,8
"38","ASCTmut.03.20240522_S20_p05",20,8,8
"39","ASCTmut.03.20240522_S20_p05",20,9,7
"40","ASCTmut.03.20240522_S20_p05",20,10,7
"41","ASCTmut.03.20240522_S20_p05",20,11,6
"42","ASCTmut.03.20240522_S20_p05",20,12,7
"43","ASCTmut.03.20240522_S20_p05",20,13,6
"44","ASCTmut.03.20240522_S20_p05",20,14,8
"45","ASCTmut.03.20240522_S20_p05",20,15,6
"46","ASCTmut.03.20240522_S20_p05",20,16,6
"47","ASCTmut.03.20240522_S20_p05",20,17,6
"48","ASCTmut.03.20240522_S20_p05",20,18,6
"49","ASCTmut.03.20240522_S20_p05",20,19,7
"50","ASCTmut.03.20240522_S20_p05",20,20,6
"51","ASCTmut.03.20240522_S20_p05",20,21,6
"52","ASCTmut.03.20240522_S20_p05",20,22,6
"53","ASCTmut.03.20240522_S20_p05",20,23,6
"54","ASCTmut.03.20240522_S20_p05",20,24,6
"55","ASCTmut.03.20240522_S20_p05",20,25,5
"56","ASCTmut.03.20240522_S20_p05",20,26,6
"57","ASCTmut.03.20240522_S20_p05",20,27,6
"58","ASCTmut.03.20240522_S20_p05",20,28,8
"59","ASCTmut.03.20240522_S20_p05",20,29,7
"60","ASCTmut.03.20240522_S20_p05",20,30,6
"61","ASCTmut.03.20240522_S20_p05",21,1,21
"62","ASCTmut.03.20240522_S20_p05",21,2,17
"63","ASCTmut.03.20240522_S20_p05",21,3,12
"64","ASCTmut.03.20240522_S20_p05",21,4,11
"65","ASCTmut.03.20240522_S20_p05",21,5,9
"66","ASCTmut.03.20240522_S20_p05",21,6,8
"67","ASCTmut.03.20240522_S20_p05",21,7,7
"68","ASCTmut.03.20240522_S20_p05",21,8,7
"69","ASCTmut.03.20240522_S20_p05",21,9,6
"70","ASCTmut.03.20240522_S20_p05",21,10,6
"71","ASCTmut.03.20240522_S20_p05",21,11,5
"72","ASCTmut.03.20240522_S20_p05",21,12,6
"73","ASCTmut.03.20240522_S20_p05",21,13,5
"74","ASCTmut.03.20240522_S20_p05",21,14,1
"75","ASCTmut.03.20240522_S20_p05",21,15,1
"76","ASCTmut.03.20240522_S20_p05",21,16,1
"77","ASCTmut.03.20240522_S20_p05",21,17,1
"78","ASCTmut.03.20240522_S20_p05",21,18,1
"79","ASCTmut.03.20240522_S20_p05",21,19,1
"80","ASCTmut.03.20240522_S20_p05",21,20,1
"81","ASCTmut.03.20240522_S20_p05",21,21,1
"82","ASCTmut.03.20240522_S20_p05",21,22,1
"83","ASCTmut.03.20240522_S20_p05",21,23,1
"84","ASCTmut.03.20240522_S20_p05",21,24,1
"85","ASCTmut.03.20240522_S20_p05",21,25,1
"86","ASCTmut.03.20240522_S20_p05",21,26,1
"87","ASCTmut.03.20240522_S20_p05",21,27,1
"88","ASCTmut.03.20240522_S20_p05",21,28,2
"89","ASCTmut.03.20240522_S20_p05",21,29,2
"90","ASCTmut.03.20240522_S20_p05",21,30,2
"91","ASCTmut.03.20240522_S20_p05",22,1,22
"92","ASCTmut.03.20240522_S20_p05",22,2,16
"93","ASCTmut.03.20240522_S20_p05",22,3,13
"94","ASCTmut.03.20240522_S20_p05",22,4,13
"95","ASCTmut.03.20240522_S20_p05",22,5,10
"96","ASCTmut.03.20240522_S20_p05",22,6,10
"97","ASCTmut.03.20240522_S20_p05",22,7,9
"98","ASCTmut.03.20240522_S20_p05",22,8,9
"99","ASCTmut.03.20240522_S20_p05",22,9,8
"100","ASCTmut.03.20240522_S20_p05",22,10,8
"101","ASCTmut.03.20240522_S20_p05",22,11,7
"102","ASCTmut.03.20240522_S20_p05",22,12,8
"103","ASCTmut.03.20240522_S20_p05",22,13,7
"104","ASCTmut.03.20240522_S20_p05",22,14,9
"105","ASCTmut.03.20240522_S20_p05",22,15,7
"106","ASCTmut.03.20240522_S20_p05",22,16,7
"107","ASCTmut.03.20240522_S20_p05",22,17,7
"108","ASCTmut.03.20240522_S20_p05",22,18,7
"109","ASCTmut.03.20240522_S20_p05",22,19,6
"110","ASCTmut.03.20240522_S20_p05",22,20,7
"111","ASCTmut.03.20240522_S20_p05",22,21,7
"112","ASCTmut.03.20240522_S20_p05",22,22,7
"113","ASCTmut.03.20240522_S20_p05",22,23,7
"114","ASCTmut.03.20240522_S20_p05",22,24,7
"115","ASCTmut.03.20240522_S20_p05",22,25,6
"116","ASCTmut.03.20240522_S20_p05",22,26,8
"117","ASCTmut.03.20240522_S20_p05",22,27,0
"118","ASCTmut.03.20240522_S20_p05",22,28,1
"119","ASCTmut.03.20240522_S20_p05",22,29,1
"120","ASCTmut.03.20240522_S20_p05",22,30,1
"121","ASCTmut.03.20240522_S20_p05",23,1,23
"122","ASCTmut.03.20240522_S20_p05",23,2,18
"123","ASCTmut.03.20240522_S20_p05",23,3,14
"124","ASCTmut.03.20240522_S20_p05",23,4,14
"125","ASCTmut.03.20240522_S20_p05",23,5,11
"126","ASCTmut.03.20240522_S20_p05",23,6,11
"127","ASCTmut.03.20240522_S20_p05",23,7,10
"128","ASCTmut.03.20240522_S20_p05",23,8,10
"129","ASCTmut.03.20240522_S20_p05",23,9,9
"130","ASCTmut.03.20240522_S20_p05",23,10,10
"131","ASCTmut.03.20240522_S20_p05",23,11,8
"132","ASCTmut.03.20240522_S20_p05",23,12,10
"133","ASCTmut.03.20240522_S20_p05",23,13,8
"134","ASCTmut.03.20240522_S20_p05",23,14,7
"135","ASCTmut.03.20240522_S20_p05",23,15,8
"136","ASCTmut.03.20240522_S20_p05",23,16,8
"137","ASCTmut.03.20240522_S20_p05",23,17,8
"138","ASCTmut.03.20240522_S20_p05",23,18,8
"139","ASCTmut.03.20240522_S20_p05",23,19,9
"140","ASCTmut.03.20240522_S20_p05",23,20,8
"141","ASCTmut.03.20240522_S20_p05",23,21,8
"142","ASCTmut.03.20240522_S20_p05",23,22,8
"143","ASCTmut.03.20240522_S20_p05",23,23,8
"144","ASCTmut.03.20240522_S20_p05",23,24,9
"145","ASCTmut.03.20240522_S20_p05",23,25,8
"146","ASCTmut.03.20240522_S20_p05",23,26,7
"147","ASCTmut.03.20240522_S20_p05",23,27,7
"148","ASCTmut.03.20240522_S20_p05",23,28,6
"149","ASCTmut.03.20240522_S20_p05",23,29,5
"150","ASCTmut.03.20240522_S20_p05",23,30,8
"151","ASCTmut.03.20240522_S20_p05",24,1,24
"152","ASCTmut.03.20240522_S20_p05",24,2,20
"153","ASCTmut.03.20240522_S20_p05",24,3,16
"154","ASCTmut.03.20240522_S20_p05",24,4,16
"155","ASCTmut.03.20240522_S20_p05",24,5,13
"156","ASCTmut.03.20240522_S20_p05",24,6,13
"157","ASCTmut.03.20240522_S20_p05",24,7,12
"158","ASCTmut.03.20240522_S20_p05",24,8,13
"159","ASCTmut.03.20240522_S20_p05",24,9,11
"160","ASCTmut.03.20240522_S20_p05",24,10,9
"161","ASCTmut.03.20240522_S20_p05",24,11,10
