".y.","group1","group2","n1","n2","p","Stat.test"
"AMK.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.13.20230705","0","1",43,75,0.00491,"Mann.Whitney"
"AMK.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.08.20230504","0","1",45,78,0.0057,"Mann.Whitney"
"LZD.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.19.20230804","0","1",41,83,0.0464,"Mann.Whitney"
"LZD.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.09.20230508","0","1",45,85,0.2,"Mann.Whitney"
"MIN.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.20.20230808","0","1",33,58,0.332,"Mann.Whitney"
"MIN.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.14.20230712","0","1",44,79,0.424,"Mann.Whitney"
"TGC.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.16.20230719","0","1",45,86,0.0324,"Mann.Whitney"
"TGC.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.07.20230427","0","1",43,87,0.285,"Mann.Whitney"
"AZM.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.18.20230728","0","1",14,13,0.685,"Mann.Whitney"
"AZM.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.22.20230814","0","1",29,31,0.31,"Mann.Whitney"
"FOX.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.06.20230420","0","1",45,86,0.00454,"Mann.Whitney"
"FOX.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.03.20230405","0","1",45,87,0.00126,"Mann.Whitney"
"IPM.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.05.20230413","0","1",45,87,0.000701,"Mann.Whitney"
"IPMc.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.23.20230823","0","1",46,87,0.000559,"Mann.Whitney"
"MXF.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.04.20230409","0","1",44,72,0.0443,"Mann.Whitney"
"MXFb.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.24.20231025","0","1",41,73,0.976,"Mann.Whitney"
"CLO.10x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.21.20230811","0","1",35,72,0.000561,"Mann.Whitney"
"CLO.20x_AUCrt0.72h_MD.3sd_Growth.Q1Q2_Trkv2.Ila2BaSic_ASCT.15.20230715","0","1",45,84,0.83,"Mann.Whitney"
"AMK_MIC_lg2","0","1",46,89,0.651,"Mann.Whitney"
"CLO_MIC_lg2","0","1",46,89,0.992,"Mann.Whitney"
"IPM_MIC_lg2","0","1",46,89,0.105,"Mann.Whitney"
"MXF_MIC_lg2","0","1",46,89,0.683,"Mann.Whitney"
"FOX_MIC_lg2","0","1",46,89,0.382,"Mann.Whitney"
"LZD_MIC_lg2","0","1",46,89,0.8,"Mann.Whitney"
"TGC_MIC_lg2","0","1",46,89,0.432,"Mann.Whitney"
"AZMearly_MIC_lg2","0","1",46,89,0.00611,"Mann.Whitney"
"AZMlate_MIC_lg2","0","1",46,89,0.0203,"Mann.Whitney"
"CLRearly_MIC_lg2","0","1",46,89,0.000147,"Mann.Whitney"
"CLRlate_MIC_lg2","0","1",46,89,0.00244,"Mann.Whitney"
"RFB_MIC_lg2","0","1",46,89,0.392,"Mann.Whitney"
"BDQ_MIC_lg2","0","1",46,89,0.759,"Mann.Whitney"
"MIN_MIC_lg2","0","1",46,89,0.405,"Mann.Whitney"
